구코드,동코드,구명,동명,동ID
11240,1124062,송파구,송파2동,220
11240,1124063,송파구,석촌동,221
11240,1124064,송파구,삼전동,222
11240,1124065,송파구,가락본동,223
11240,1124066,송파구,가락1동,224
11240,1124067,송파구,가락2동,225
11240,1124068,송파구,문정1동,226
11240,1124069,송파구,문정2동,227
11240,1124070,송파구,장지동,228
11240,1124071,송파구,잠실본동,229
11240,1124075,송파구,잠실4동,230
11240,1124077,송파구,잠실6동,231
11240,1124078,송파구,잠실7동,232
11240,1124079,송파구,잠실2동,233
11240,1124080,송파구,잠실3동,234
11250,1125051,강동구,강일동,235
11250,1125052,강동구,상일동,236
11250,1125053,강동구,명일1동,237
11250,1125054,강동구,명일2동,238
11250,1125055,강동구,고덕1동,239
11250,1125056,강동구,고덕2동,240
11250,1125058,강동구,암사2동,241
11250,1125059,강동구,암사3동,242
11250,1125061,강동구,천호1동,243
11250,1125063,강동구,천호3동,244
11250,1125065,강동구,성내1동,245
11250,1125066,강동구,성내2동,246
11250,1125067,강동구,성내3동,247
11250,1125070,강동구,둔촌1동,248
11250,1125071,강동구,둔촌2동,249
11250,1125072,강동구,암사1동,250
11250,1125073,강동구,천호2동,251
11250,1125074,강동구,길동,252
