게시글번호,제목,닉네임,날짜,조회수,추천수
38926,버스킹 마이크 질문드립니다?[5],여섯줄사랑,2017-12-05,136,0
38911,버스킹시 큐브 ex로 모니터링 관련해서 문의드립니다ㅜㅜㅜ?[1],뒷통수,2017-12-05,128,0
38890,버스킹 앰프 질문입니다?,웬일,2017-12-04,219,0
0,?버스킹 앰프 질문입니다,시준e,2017-12-04,2,0
38883,모니터링 앰프 뭐가 있을까요??[5],래퍼 그린그레이,2017-12-04,87,0
38875,aer compact 60/3 버스킹시 질문?[3],jangi,2017-12-04,87,0
38816,공연섭외는../,DJ WooGI,2017-12-01,234,0
0,?공연섭외는../,ㅅ,2017-12-02,0,0
0,?공연섭외는../?[1],따따루,2017-12-05,0,0
38799,앰프 질문합니다. 출력 좋은게 뭐가 있을까요??[2],으아니이런,2017-11-30,105,0
38749,인천 서울 버스킹 허가 관련 질문있습니다!!?[3],팔로킴,2017-11-29,158,0
38744,처음혼자버스킹하려고하는데요ㅠ?[14],rlaqhdud193,2017-11-29,221,0
38702,큐브스트리트와 충전식엠프에 대해서?[6],우왕굿,2017-11-27,154,0
38660,프랑스 파리 버스킹 해보신분?[1],박진아입니다,2017-11-25,98,0
38640,곡 추천 부탁드립니다 !!ㅜ?[7],김윤수 1,2017-11-24,80,0
0,?곡 추천 부탁드립니다 !!ㅜ,데마노,2017-11-25,0,0
38617,보통 영상 녹화는 어떤걸로 하시나요??[6],gobus,2017-11-23,113,0
0,?보통 영상 녹화는 어떤걸로 하시나요??[1],오샘,2017-11-24,0,0
38616,이제 이날씨에 버스킹은 좀 무린가요??[3],배래,2017-11-23,167,0
38504,저가 장비 질문!!?[20],딱대,2017-11-19,212,0
0,?저가 장비 질문!!,르포포,2017-11-21,0,0
38481,일본에서 버스킹을 하고싶습니다?[2],도장,2017-11-18,106,0
38461,큐브 스트리트 질문 입니다~?[10],카일로,2017-11-17,141,0
0,?큐브 스트리트 질문 입니다~?[1],르포포,2017-11-18,0,0
38457,여자 건반?[4],미라,2017-11-17,105,0
38439,대구에서는?[4],Ellyat,2017-11-17,98,0
38370,강남역/신촌역/이대역/홍대역 등등 신청제가 있는 서울구역 버스킹 신청 사이트좀 알려주세요!!,홍곰,2017-11-14,88,0
38310,충전식 베터리 어디서 구하나요?,르포포,2017-11-11,54,0
38302,충전식 버스킹 앰프 배터리 교환 질문?[3],여유로이,2017-11-10,74,0
38296,버스킹 앰프 수리가능할까요??[2],여유로이,2017-11-10,67,0
38276,큐브스트리트 설정 어떻게하고하세여?,kjmok64,2017-11-09,163,0
0,?큐브스트리트 설정 어떻게하고하세여?,DayStar,2017-11-10,0,0
38244,버스킹 앰프 대체로 포터블 스피커 쓸만할까요??[3],여유로이,2017-11-08,103,0
38222,서울이나 경지지역 버스킹장소?[2],jangi,2017-11-08,137,0
0,?서울이나 경지지역 버스킹장소?[1],르포포,2017-11-08,2,0
0,?서울이나 경지지역 버스킹장소?[1],어쿠킴,2017-11-10,2,0
38193,겨울에는 버스킹 하기 힘들죠??[2],어쿠킴,2017-11-07,175,1
38168,신도림 디큐브 버스킹존 질문이요~,딘윈체스터,2017-11-06,78,0
0,?신도림 디큐브 버스킹존 질문이요~?[1],르포포,2017-11-07,0,0
38166,석촌호수 버스킹 허가받아야하나요?,퀜치,2017-11-06,387,1
0,?석촌호수 버스킹 허가받아야하나요?,어쿠킴,2017-11-07,0,0
38143,건반에 대해 질문이 있어요?[2],서향,2017-11-06,59,0
38109,랩 버스킹 질문입니다?[1],Dealize,2017-11-04,77,0
0,?랩 버스킹 질문입니다?[1],르포포,2017-11-05,0,0
0,?랩 버스킹 질문입니다,take over,2017-11-06,0,0
38095,버스킹을 위한 엠프로 뭐가 좋을까요??[5],jangi,2017-11-04,250,0
0,?버스킹을 위한 엠프로 뭐가 좋을까요??[2],take over,2017-11-06,0,0
38094,겨울엔 어떻게 버스킹을 하시나요??[1],jangi,2017-11-04,154,0
0,?겨울엔 어떻게 버스킹을 하시나요?,르포포,2017-11-04,0,0
0,?겨울엔 어떻게 버스킹을 하시나요??[2],따따루,2017-11-06,1,0
38081,공연을 정기적으로 하고싶은데?[4],배래,2017-11-03,215,0
0,?공연을 정기적으로 하고싶은데?[1],르포포,2017-11-04,0,0
0,?공연을 정기적으로 하고싶은데?[4],따따루,2017-11-06,0,0
0,?공연을 정기적으로 하고싶은데,Ellyat,2017-11-17,0,0
38077,인천 지역에서 실내 공연 할수있는곳 있을까요?,잏,2017-11-03,19,0
38034,해외 오사카 버스킹 여행가려고합니다 도와주세요?[2],산본개고기,2017-11-01,105,0
38032,"큐브 ex, 마이크 들고다닐 캐리어 구매하려 하는데",잏,2017-11-01,113,0
0,"?큐브 ex, 마이크 들고다닐 캐리어 구매하려 하는데?[2]",영Fe,2017-11-02,1,0
0,"?큐브 ex, 마이크 들고다닐 캐리어 구매하려 하는데",르포포,2017-11-03,1,0
38031,다른 아티스트 분들과 소통을 하고싶은데요!?[2],배래,2017-11-01,102,0
0,?다른 아티스트 분들과 소통을 하고싶은데요!?[1],르포포,2017-11-03,0,0
38005,복스 사운드박스 미니 쓰시는분 계신가요??[2],gobus,2017-10-31,69,0
0,?복스 사운드박스 미니 쓰시는분 계신가요??[1],르포포,2017-11-01,1,0
38002,이펙터 연결 질문있습니다!?[2],xodnals2,2017-10-31,36,0
37995,행사 및 공연?[3],김포크,2017-10-31,154,0
37986,강원도 버스킹 스팟!!,팔로킴,2017-10-31,38,0
37973,버스킹 팀원 구하기 - 남)보컬 입니다.궁금해요!!!?[19],킁이,2017-10-30,155,0
