"","code","day","p.young","p.old","weekdays"
"276",10,2018-04-06,57927.0848197444,53673.2925214721,"금"
"277",10,2018-04-07,58418.0522720117,54609.8947102159,"토"
"278",10,2018-04-08,56232.1345254276,53277.662337634,"일"
"279",10,2018-04-09,53209.4304866058,49966.0636203731,"월"
"280",10,2018-04-10,54022.6560413217,51256.2027736325,"화"
"281",10,2018-04-11,54459.3028802705,52039.6310955875,"수"
"282",10,2018-04-12,55134.8864788269,53133.1069442735,"목"
"283",10,2018-04-13,55807.7533818535,53589.7444181416,"금"
"284",10,2018-04-14,56242.8035713702,54460.8068858237,"토"
"285",10,2018-04-15,54504.870672871,53273.0315292847,"일"
"286",10,2018-04-16,52062.532939737,50303.3817291179,"월"
"287",10,2018-04-17,52080.2803739639,50797.8953297873,"화"
"288",10,2018-04-18,52501.9306749785,51833.5823059548,"수"
"289",10,2018-04-19,52679.7216090416,52316.5907115637,"목"
"290",10,2018-04-20,52919.7043682884,52681.6286631379,"금"
"291",10,2018-04-21,53155.33394729,53619.411343077,"토"
"292",10,2018-04-22,52179.1398519263,52294.7830260947,"일"
"293",10,2018-04-23,50840.0167289345,49140.5202321896,"월"
"294",10,2018-04-24,50133.1108560093,46823.5565156074,"화"
"295",10,2018-04-25,50480.740783015,48248.2356606357,"수"
"296",10,2018-04-26,50810.7337635772,49184.4328500772,"목"
"297",10,2018-04-27,51131.0928745581,50057.8529343727,"금"
"298",10,2018-04-28,50802.9696175547,50413.0402444579,"토"
"299",10,2018-04-29,48656.1298981501,47823.7647432357,"일"
"300",10,2018-04-30,46737.4685084342,45356.26702036,"월"
"301",11,2018-04-01,167704.480101521,200110.413758621,"일"
"302",11,2018-04-02,159696.730939108,188860.006906465,"월"
"303",11,2018-04-03,162589.475078564,192743.580712169,"화"
"304",11,2018-04-04,166244.575111052,197285.530588649,"수"
"305",11,2018-04-05,169370.970949263,201375.452032454,"목"
"306",11,2018-04-06,172407.281336825,205191.05072924,"금"
"307",11,2018-04-07,174517.393677724,208369.92957077,"토"
"308",11,2018-04-08,166696.147711667,199431.012552525,"일"
"309",11,2018-04-09,158695.065959693,189649.930305016,"월"
"310",11,2018-04-10,161546.615391717,193367.047088037,"화"
"311",11,2018-04-11,164983.585598986,197992.734394782,"수"
"312",11,2018-04-12,168529.368375399,202270.673281597,"목"
"313",11,2018-04-13,171627.230134099,206532.965199515,"금"
"314",11,2018-04-14,173943.679218748,209601.277512095,"토"
"315",11,2018-04-15,166516.483037606,200736.577470725,"일"
"316",11,2018-04-16,158674.314213002,189428.157445553,"월"
"317",11,2018-04-17,161352.792658385,192586.455798943,"화"
"318",11,2018-04-18,164640.518135102,197152.70058392,"수"
"319",11,2018-04-19,167983.376926024,201020.351003957,"목"
"320",11,2018-04-20,171044.220962836,204627.452505192,"금"
"321",11,2018-04-21,173211.274795299,207403.825723501,"토"
"322",11,2018-04-22,166401.532704599,198483.582438084,"일"
"323",11,2018-04-23,159126.981610811,187303.19625358,"월"
"324",11,2018-04-24,153071.796719138,177605.1774173,"화"
"325",11,2018-04-25,156677.984360681,182384.874147156,"수"
"326",11,2018-04-26,160340.428926765,186853.746775504,"목"
"327",11,2018-04-27,164000.761650218,191722.488643068,"금"
"328",11,2018-04-28,166107.680210331,194055.55438723,"토"
"329",11,2018-04-29,158279.604644315,185065.401075175,"일"
"330",11,2018-04-30,150963.548687084,174781.674823928,"월"
"331",12,2018-04-01,10221.5031620032,13219.8182159472,"일"
"332",12,2018-04-02,10430.3176295113,13174.850133813,"월"
"333",12,2018-04-03,10298.4735242974,12521.4351399492,"화"
"334",12,2018-04-04,10168.7199388287,12168.0110155651,"수"
"335",12,2018-04-05,10013.4932470869,11857.200299001,"목"
"336",12,2018-04-06,9919.10852739671,11590.65870496,"금"
"337",12,2018-04-07,9909.41448804528,11876.7233081231,"토"
"338",12,2018-04-08,10102.4780071,12430.5332413581,"일"
"339",12,2018-04-09,10334.2559229333,13002.512713143,"월"
"340",12,2018-04-10,10272.2933341526,12560.2338934119,"화"
"341",12,2018-04-11,10176.6923269094,11794.8578088158,"수"
"342",12,2018-04-12,10075.7050762223,12066.9091450608,"목"
"343",12,2018-04-13,10001.1516459941,11883.1266077121,"금"
"344",12,2018-04-14,9965.0168524246,12112.6722942602,"토"
"345",12,2018-04-15,10058.0971650078,13132.0284735104,"일"
"346",12,2018-04-16,10229.3567294804,13193.7530805876,"월"
"347",12,2018-04-17,10109.5464291758,12591.049669034,"화"
"348",12,2018-04-18,10015.0309991912,12541.7584735569,"수"
"349",12,2018-04-19,9947.88371103585,12033.402253906,"목"
"350",12,2018-04-20,9874.92153880213,12241.9440031377,"금"
"351",12,2018-04-21,9856.19068591209,11906.8982867144,"토"
"352",12,2018-04-22,10049.6543106375,13196.6628585586,"일"
"353",12,2018-04-23,10196.022753401,13509.0873409126,"월"
"354",12,2018-04-24,10255.4685582539,13271.7619005494,"화"
"355",12,2018-04-25,10253.7969772105,12535.8510524695,"수"
"356",12,2018-04-26,10199.8343799444,12324.3585427511,"목"
"357",12,2018-04-27,10125.38901172,12471.8800129886,"금"
"358",12,2018-04-28,10116.0324911116,12648.8712547616,"토"
"359",12,2018-04-29,10309.7639691178,13681.2707841878,"일"
"360",12,2018-04-30,10418.8858405272,13975.2358355373,"월"
"361",13,2018-04-01,2776.44829647066,2384.02782788329,"일"
"362",13,2018-04-02,2761.66230615635,2663.8163067394,"월"
"363",13,2018-04-03,2515.07629285474,2505.49064729873,"화"
"364",13,2018-04-04,2453.30097818405,2352.386202985,"수"
"365",13,2018-04-05,2505.15612434551,2424.70285022056,"목"
"366",13,2018-04-06,2514.64878568634,2391.10661582407,"금"
"367",13,2018-04-07,2559.81330862029,2604.79786278447,"토"
"368",13,2018-04-08,2724.26689034752,2538.93250721555,"일"
"369",13,2018-04-09,2843.47390343062,2907.94313416787,"월"
"370",13,2018-04-10,2594.63444357739,2697.51243344628,"화"
"371",13,2018-04-11,2514.77916154363,2462.67515912815,"수"
"372",13,2018-04-12,2551.0228808748,2432.40339103523,"목"
"373",13,2018-04-13,2513.33485573538,2365.21282843166,"금"
"374",13,2018-04-14,2546.72874771455,2545.8003071739,"토"
"375",13,2018-04-15,2577.4024940146,2402.34509884439,"일"
"376",13,2018-04-16,2826.34101917615,2631.52214885463,"월"
"377",13,2018-04-17,2674.58746945991,2638.51978839867,"화"
"378",13,2018-04-18,2555.49718447039,2512.62957350272,"수"
"379",13,2018-04-19,2565.51797471606,2717.63514487036,"목"
"380",13,2018-04-20,2632.42737305701,2697.30123466576,"금"
"381",13,2018-04-21,2535.90691793365,2568.28980456109,"토"
"382",13,2018-04-22,2646.58613306626,2601.06669921752,"일"
"383",13,2018-04-23,2714.24238636102,2849.45779851428,"월"
"384",13,2018-04-24,2798.20380052626,3085.97044844994,"화"
"385",13,2018-04-25,2473.43996775549,2606.4359869125,"수"
"386",13,2018-04-26,2695.89952953313,2765.37880504339,"목"
"387",13,2018-04-27,2534.08055113106,2795.60603097412,"금"
"388",13,2018-04-28,2642.21615418584,2568.9455260389,"토"
"389",13,2018-04-29,2564.29908924315,2461.68816376769,"일"
"390",13,2018-04-30,2649.01653972158,2782.20172481557,"월"
